ipAddress,baseName,startingIndex,numNodes,ossModelIdentity,nodeType,platformType
10.154.1.1,LTE01,1,160,2792-305-136,ERBS,CPP
10.154.2.1,LTE02,1,160,2792-305-136,ERBS,CPP
10.154.3.1,LTE03,1,160,2792-305-136,ERBS,CPP
10.154.4.1,LTE04,1,160,2792-305-136,ERBS,CPP
10.154.18.1,LTE05,1,160,2792-305-136,ERBS,CPP
10.154.19.1,LTE06,1,160,6185-266-590,ERBS,CPP
10.154.20.1,LTE07,1,160,6185-266-590,ERBS,CPP
10.154.21.1,LTE08,1,160,6185-266-590,ERBS,CPP
10.154.33.1,LTE09,1,160,6185-266-590,ERBS,CPP
10.154.34.1,LTE10,1,160,6185-266-590,ERBS,CPP
10.154.35.1,LTE21,1,160,4322-940-032,ERBS,CPP
10.154.36.1,LTE22,1,160,4322-940-032,ERBS,CPP
