filter,moType,attributes
LTE11,EUtranCellFDD,"userLabel,administrativeState,pmZtemporary9,pmRadioUeRepRankDistr,externalCdma20001xRttCellRef,dynCellSubscrCap,measuredMaxNoOfUsersInCell,pmRrcConnReestAttQci,pmRlcPollRetxUl,pmS1SigConnEstabFailMmeOvlMos"
LTE12,EUtranCellFDD,"userLabel,administrativeState,pmZtemporary9,pmRadioUeRepRankDistr,externalCdma20001xRttCellRef,dynCellSubscrCap,measuredMaxNoOfUsersInCell,pmRrcConnReestAttQci,pmRlcPollRetxUl,pmS1SigConnEstabFailMmeOvlMos"
LTE13,EUtranCellFDD,"userLabel,administrativeState,pmZtemporary9,pmRadioUeRepRankDistr,externalCdma20001xRttCellRef,dynCellSubscrCap,measuredMaxNoOfUsersInCell,pmRrcConnReestAttQci,pmRlcPollRetxUl,pmS1SigConnEstabFailMmeOvlMos"
LTE14,EUtranCellFDD,"userLabel,administrativeState,pmZtemporary9,pmRadioUeRepRankDistr,externalCdma20001xRttCellRef,dynCellSubscrCap,measuredMaxNoOfUsersInCell,pmRrcConnReestAttQci,pmRlcPollRetxUl,pmS1SigConnEstabFailMmeOvlMos"
LTE15,EUtranCellFDD,"userLabel,administrativeState,pmZtemporary9,pmRadioUeRepRankDistr,externalCdma20001xRttCellRef,dynCellSubscrCap,measuredMaxNoOfUsersInCell,pmRrcConnReestAttQci,pmRlcPollRetxUl,pmS1SigConnEstabFailMmeOvlMos"
LTE16,EUtranCellFDD,"userLabel,administrativeState,pmZtemporary9,pmRadioUeRepRankDistr,externalCdma20001xRttCellRef,dynCellSubscrCap,measuredMaxNoOfUsersInCell,pmRrcConnReestAttQci,pmRlcPollRetxUl,pmS1SigConnEstabFailMmeOvlMos"
LTE17,EUtranCellFDD,"userLabel,administrativeState,pmZtemporary9,pmRadioUeRepRankDistr,externalCdma20001xRttCellRef,dynCellSubscrCap,measuredMaxNoOfUsersInCell,pmRrcConnReestAttQci,pmRlcPollRetxUl,pmS1SigConnEstabFailMmeOvlMos"
LTE18,EUtranCellFDD,"userLabel,administrativeState,pmZtemporary9,pmRadioUeRepRankDistr,externalCdma20001xRttCellRef,dynCellSubscrCap,measuredMaxNoOfUsersInCell,pmRrcConnReestAttQci,pmRlcPollRetxUl,pmS1SigConnEstabFailMmeOvlMos"
LTE19,EUtranCellFDD,"userLabel,administrativeState,pmZtemporary9,pmRadioUeRepRankDistr,externalCdma20001xRttCellRef,dynCellSubscrCap,measuredMaxNoOfUsersInCell,pmRrcConnReestAttQci,pmRlcPollRetxUl,pmS1SigConnEstabFailMmeOvlMos"
